Task 1;Runtime 0.001773
Task 2;Runtime 0.002344
Task 3;Runtime 0.003862
Task 4;Runtime 0.005909
Task 5;Runtime 0.009075
Task 6;Runtime 0.016519
Task 7;Runtime 0.029411
Task 8;Runtime 0.044324
Task 9;Runtime 0.081931
Task 10;Runtime 0.136885
Task 11;Runtime 0.282338
Task 12;Runtime 0.392272
Task 13;Runtime 0.743138
Task 14;Runtime 1.409276
Task 15;Runtime 2.755233
Task 16;Runtime 5.160575
Task 17;Runtime 8.217328
Task 18;Runtime 16.186135
Task 19;Runtime 27.802574
Task 20;Runtime 45.672600
Task 21;Runtime 82.327969
Task 22;Runtime 148.430147
Task 23;Runtime 0.001320
Task 24;Runtime 0.002273
Task 25;Runtime 0.003952
Task 26;Runtime 0.005866
Task 27;Runtime 0.009166
Task 28;Runtime 0.016507
Task 29;Runtime 0.029376
Task 30;Runtime 0.044242
Task 31;Runtime 0.071982
Task 32;Runtime 0.136979
Task 33;Runtime 0.265996
Task 34;Runtime 0.383603
Task 35;Runtime 0.743106
Task 36;Runtime 1.441061
Task 37;Runtime 2.759771
Task 38;Runtime 5.132217
Task 39;Runtime 8.161505
Task 40;Runtime 16.204125
Task 41;Runtime 27.796436
Task 42;Runtime 45.108760
Task 43;Runtime 90.725005
Task 44;Runtime 148.220252
Task 45;Runtime 0.001301
Task 46;Runtime 0.002271
Task 47;Runtime 0.003945
Task 48;Runtime 0.005864
Task 49;Runtime 0.009108
Task 50;Runtime 0.016593
Task 51;Runtime 0.029358
Task 52;Runtime 0.044279
Task 53;Runtime 0.071976
Task 54;Runtime 0.137274
Task 55;Runtime 0.266665
Task 56;Runtime 0.381463
Task 57;Runtime 0.742127
Task 58;Runtime 1.440389
Task 59;Runtime 2.740227
Task 60;Runtime 5.132506
Task 61;Runtime 8.160404
Task 62;Runtime 16.170202
Task 63;Runtime 27.779507
Task 64;Runtime 45.062476
Task 65;Runtime 81.443902
Task 66;Runtime 148.130636
Task 67;Runtime 0.001306
Task 68;Runtime 0.002275
Task 69;Runtime 0.003893
Task 70;Runtime 0.005901
Task 71;Runtime 0.009111
Task 72;Runtime 0.016509
Task 73;Runtime 0.029525
Task 74;Runtime 0.044265
Task 75;Runtime 0.072118
Task 76;Runtime 0.137259
Task 77;Runtime 0.266372
Task 78;Runtime 0.381895
Task 79;Runtime 0.729337
Task 80;Runtime 1.453127
Task 81;Runtime 2.751496
Task 82;Runtime 5.128539
Task 83;Runtime 8.160074
Task 84;Runtime 16.168832
Task 85;Runtime 27.789922
Task 86;Runtime 45.156575
Task 87;Runtime 84.360819
Task 88;Runtime 148.187195
Task 89;Runtime 0.001308
Task 90;Runtime 0.002265
