Task 1;Runtime 0.001691
Task 2;Runtime 0.001502
Task 3;Runtime 0.001364
Task 4;Runtime 0.001428
Task 5;Runtime 0.001666
Task 6;Runtime 0.002056
Task 7;Runtime 0.002737
Task 8;Runtime 0.009060
Task 9;Runtime 0.009171
Task 10;Runtime 0.009133
Task 11;Runtime 0.009114
Task 12;Runtime 0.009165
Task 13;Runtime 0.010236
Task 14;Runtime 0.009400
Task 15;Runtime 0.079943
Task 16;Runtime 0.083262
Task 17;Runtime 0.080910
Task 18;Runtime 0.085864
Task 19;Runtime 0.079651
Task 20;Runtime 0.080572
Task 21;Runtime 0.078029
Task 22;Runtime 0.745373
Task 23;Runtime 0.733454
Task 24;Runtime 0.737971
Task 25;Runtime 0.733614
Task 26;Runtime 0.745356
Task 27;Runtime 0.738117
Task 28;Runtime 0.737152
Task 29;Runtime 8.178607
Task 30;Runtime 8.188707
Task 31;Runtime 8.177175
Task 32;Runtime 8.189711
Task 33;Runtime 8.201074
Task 34;Runtime 8.183420
Task 35;Runtime 8.195705
Task 36;Runtime 110.224487
Task 37;Runtime 92.142885
Task 38;Runtime 94.442407
